Format Version,1.23,Take Name,Take 2021-08-12 04.33.28 PM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-08-12 04.33.28.985 下午,Capture Start Frame,1153390,Total Frames in Take,1742,Total Exported Frames,1742,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,14,15,16,,,,,21,22,23,,,,,28,29,30,,,,,,,,,,,,,,,,,,,49,50,51,,,,,56,57,58,,,,,63,64,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,Skeleton 001:Hip,Skeleton 001:Hip,Skeleton 001:Hip,Skeleton 001:Hip,Skeleton 001:Hip,Skeleton 001:Hip,Skeleton 001:Hip,Skeleton 001:Ab,Skeleton 001:Ab,Skeleton 001:Ab,Skeleton 001:Ab,Skeleton 001:Ab,Skeleton 001:Ab,Skeleton 001:Ab,Skeleton 001:Chest,Skeleton 001:Chest,Skeleton 001:Chest,Skeleton 001:Chest,Skeleton 001:Chest,Skeleton 001:Chest,Skeleton 001:Chest,Skeleton 001:Neck,Skeleton 001:Neck,Skeleton 001:Neck,Skeleton 001:Neck,Skeleton 001:Neck,Skeleton 001:Neck,Skeleton 001:Neck,Skeleton 001:Head,Skeleton 001:Head,Skeleton 001:Head,Skeleton 001:Head,Skeleton 001:Head,Skeleton 001:Head,Skeleton 001:Head,Skeleton 001:LShoulder,Skeleton 001:LShoulder,Skeleton 001:LShoulder,Skeleton 001:LShoulder,Skeleton 001:LShoulder,Skeleton 001:LShoulder,Skeleton 001:LShoulder,Skeleton 001:LUArm,Skeleton 001:LUArm,Skeleton 001:LUArm,Skeleton 001:LUArm,Skeleton 001:LUArm,Skeleton 001:LUArm,Skeleton 001:LUArm,Skeleton 001:LFArm,Skeleton 001:LFArm,Skeleton 001:LFArm,Skeleton 001:LFArm,Skeleton 001:LFArm,Skeleton 001:LFArm,Skeleton 001:LFArm,Skeleton 001:LHand,Skeleton 001:LHand,Skeleton 001:LHand,Skeleton 001:LHand,Skeleton 001:LHand,Skeleton 001:LHand,Skeleton 001:LHand,Skeleton 001:RShoulder,Skeleton 001:RShoulder,Skeleton 001:RShoulder,Skeleton 001:RShoulder,Skeleton 001:RShoulder,Skeleton 001:RShoulder,Skeleton 001:RShoulder,Skeleton 001:RUArm,Skeleton 001:RUArm,Skeleton 001:RUArm,Skeleton 001:RUArm,Skeleton 001:RUArm,Skeleton 001:RUArm,Skeleton 001:RUArm,Skeleton 001:RFArm,Skeleton 001:RFArm,Skeleton 001:RFArm,Skeleton 001:RFArm,Skeleton 001:RFArm,Skeleton 001:RFArm,Skeleton 001:RFArm,Skeleton 001:RHand,Skeleton 001:RHand,Skeleton 001:RHand,Skeleton 001:RHand,Skeleton 001:RHand,Skeleton 001:RHand,Skeleton 001:RHand,Skeleton 001:LThigh,Skeleton 001:LThigh,Skeleton 001:LThigh,Skeleton 001:LThigh,Skeleton 001:LThigh,Skeleton 001:LThigh,Skeleton 001:LThigh,Skeleton 001:LShin,Skeleton 001:LShin,Skeleton 001:LShin,Skeleton 001:LShin,Skeleton 001:LShin,Skeleton 001:LShin,Skeleton 001:LShin,Skeleton 001:LFoot,Skeleton 001:LFoot,Skeleton 001:LFoot,Skeleton 001:LFoot,Skeleton 001:LFoot,Skeleton 001:LFoot,Skeleton 001:LFoot,Skeleton 001:RThigh,Skeleton 001:RThigh,Skeleton 001:RThigh,Skeleton 001:RThigh,Skeleton 001:RThigh,Skeleton 001:RThigh,Skeleton 001:RThigh,Skeleton 001:RShin,Skeleton 001:RShin,Skeleton 001:RShin,Skeleton 001:RShin,Skeleton 001:RShin,Skeleton 001:RShin,Skeleton 001:RShin,Skeleton 001:RFoot,Skeleton 001:RFoot,Skeleton 001:RFoot,Skeleton 001:RFoot,Skeleton 001:RFoot,Skeleton 001:RFoot,Skeleton 001:RFoot,Skeleton 001:LToe,Skeleton 001:LToe,Skeleton 001:LToe,Skeleton 001:LToe,Skeleton 001:LToe,Skeleton 001:LToe,Skeleton 001:LToe,Skeleton 001:RToe,Skeleton 001:RToe,Skeleton 001:RToe,Skeleton 001:RToe,Skeleton 001:RToe,Skeleton 001:RToe,Skeleton 001:RToe
,ID,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,A,A,A,A,A,A,A,B,B,B,B,B,B,B,C,C,C,C,C,C,C,D,D,D,D,D,D,D,E,E,E,E,E,E,E,F,F,F,F,F,F,F,10,10,10,10,10,10,10,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,11,11,11,11,11,11,11,15,15,15,15,15,15,15
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0,-0.012741,0.713934,-0.019557,-0.699823,-239.166428,101.081451,-108.215118,0.061404,0.734947,0.128014,-0.663095,-239.557602,109.65741,-108.301758,0.045849,0.748119,0.04032,-0.660749,-234.077271,129.8302,-106.061684,-0.011013,0.770901,-0.024482,-0.636389,-231.236359,152.964584,-106.06778,-0.027645,0.791623,-0.032006,-0.609544,-234.071045,169.061111,-106.848267,-0.01891,0.66045,-0.052086,-0.748823,-231.753754,147.913055,-101.770386,-0.462378,0.588193,0.485333,-0.452424,-229.84874,148.739838,-86.318268,-0.426045,0.618057,0.463066,-0.471234,-234.639404,119.853233,-83.867355,-0.396879,0.650716,0.529023,-0.373082,-239.2621,96.746368,-79.357697,-0.026246,0.802302,-0.00465,-0.596322,-230.727219,147.784821,-110.077988,0.452556,0.503521,-0.400785,-0.617278,-226.246017,148.35495,-125.000275,0.491489,0.450265,-0.397687,-0.630512,-231.290466,120.424889,-132.606766,0.477852,0.44721,-0.320567,-0.684762,-237.744522,98.506599,-136.710876,-0.012436,0.723968,0.041778,-0.688455,-239.377594,101.177574,-97.74781,-0.064183,0.730186,-0.057002,-0.677835,-241.186432,55.579353,-101.300446,0.008202,0.601177,-0.03228,-0.798421,-233.733444,12.705099,-101.786697,0.027609,0.715228,0.029539,-0.69772,-238.955261,100.985336,-118.682419,-0.086712,0.675897,-0.063832,-0.729088,-242.649704,55.362831,-118.85302,-0.038501,0.779299,0.033316,-0.624581,-233.496277,13.082025,-120.282623,-0.004981,0.605175,-0.046973,-0.79469,-248.53447,5.510913,-97.082611,-0.089981,0.786121,-0.019632,-0.611172,-248.6996,6.372069,-124.380318
1,0.008333,-0.012731,0.713991,-0.01959,-0.699765,-239.162582,101.082573,-108.222321,0.061489,0.735049,0.128053,-0.662966,-239.554047,109.658501,-108.309517,0.045775,0.748256,0.040158,-0.66061,-234.071228,129.827347,-106.070068,-0.010977,0.77094,-0.024332,-0.636349,-231.237915,152.962646,-106.078972,-0.027194,0.791632,-0.032161,-0.609545,-234.068558,169.060028,-106.856712,-0.018902,0.660522,-0.052036,-0.748763,-231.755249,147.911697,-101.780937,-0.462618,0.588371,0.485041,-0.45226,-229.853058,148.737305,-86.328407,-0.426125,0.618315,0.463161,-0.47073,-234.639389,119.849991,-83.877335,-0.397076,0.650732,0.52912,-0.372706,-239.280624,96.749344,-79.38147,-0.026366,0.802418,-0.004717,-0.596161,-230.725555,147.782379,-110.08812,0.452988,0.50356,-0.400534,-0.617092,-226.238556,148.354401,-125.008598,0.491566,0.4507,-0.397663,-0.630156,-231.292557,120.424011,-132.607513,0.478316,0.447038,-0.320794,-0.684443,-237.729431,98.500816,-136.716171,-0.0124,0.724241,0.041779,-0.688168,-239.375473,101.179291,-97.755051,-0.064125,0.730199,-0.05704,-0.677822,-241.185349,55.580997,-101.306168,0.008187,0.601188,-0.03221,-0.798416,-233.732956,12.705502,-101.786102,0.02768,0.71555,0.029575,-0.697387,-238.949707,100.985863,-118.689583,-0.086684,0.676049,-0.063855,-0.728949,-242.650955,55.363911,-118.859734,-0.038461,0.779309,0.033192,-0.624578,-233.497101,13.082424,-120.284584,-0.005056,0.605149,-0.046945,-0.79471,-248.534775,5.512212,-97.08316,-0.089966,0.786111,-0.019773,-0.611184,-248.699692,6.370083,-124.38102
2,0.016667,-0.012733,0.714077,-0.019565,-0.699678,-239.157959,101.081833,-108.231644,0.061399,0.735124,0.128026,-0.662897,-239.549133,109.657776,-108.318542,0.045782,0.748316,0.040118,-0.660543,-234.070343,129.826263,-106.077003,-0.010858,0.770973,-0.024513,-0.636304,-231.237976,152.96167,-106.087257,-0.026689,0.791662,-0.03206,-0.609533,-234.069321,169.058578,-106.872223,-0.018889,0.660547,-0.052092,-0.748737,-231.755875,147.911041,-101.788902,-0.462495,0.58834,0.485265,-0.452187,-229.854874,148.738174,-86.336304,-0.426048,0.618283,0.463387,-0.470618,-234.651764,119.852112,-83.891174,-0.396951,0.650748,0.529473,-0.372312,-239.301208,96.751877,-79.402252,-0.026341,0.802467,-0.004763,-0.596096,-230.724686,147.781113,-110.095909,0.453078,0.503555,-0.40058,-0.617,-226.235229,148.351685,-125.015686,0.491445,0.450996,-0.397725,-0.629999,-231.287338,120.41925,-132.608383,0.478222,0.447328,-0.321038,-0.684205,-237.710159,98.491051,-136.723572,-0.012346,0.724218,0.041792,-0.688192,-239.373398,101.178085,-97.76442,-0.064092,0.730167,-0.057115,-0.677855,-241.187836,55.579769,-101.312935,0.008196,0.601201,-0.032243,-0.798405,-233.73291,12.705219,-101.78627,0.027702,0.71538,0.029587,-0.697559,-238.942535,100.985588,-118.69886,-0.086616,0.67637,-0.063816,-0.728662,-242.646072,55.363815,-118.867531,-0.038398,0.779323,0.033115,-0.624568,-233.497482,13.082379,-120.286163,-0.005052,0.605179,-0.046991,-0.794685,-248.534576,5.511535,-97.083427,-0.090095,0.786115,-0.020042,-0.61115,-248.699951,6.369285,-124.381783
3,0.025,-0.012673,0.714104,-0.019706,-0.699648,-239.155396,101.083847,-108.232048,0.061449,0.735166,0.128025,-0.662846,-239.547516,109.659729,-108.321426,0.045822,0.748358,0.040028,-0.660499,-234.067947,129.82605,-106.081116,-0.010884,0.77106,-0.024585,-0.636195,-231.236954,152.961624,-106.095573,-0.026267,0.791844,-0.032128,-0.609312,-234.070236,169.05809,-106.8825,-0.018921,0.660628,-0.052181,-0.748658,-231.75502,147.911804,-101.796295,-0.462654,0.588435,0.485151,-0.452022,-229.857666,148.740189,-86.343315,-0.425985,0.618454,0.463568,-0.470273,-234.654648,119.853745,-83.902802,-0.396784,0.650826,0.529812,-0.37187,-239.321564,96.758415,-79.423134,-0.02636,0.8025,-0.004867,-0.59605,-230.722931,147.780304,-110.103157,0.453239,0.503828,-0.400573,-0.616663,-226.231796,148.349457,-125.022484,0.491432,0.451217,-0.397806,-0.629799,-231.268051,120.41317,-132.611481,0.478085,0.447309,-0.320952,-0.684353,-237.678986,98.479912,-136.727692,-0.012387,0.724223,0.041839,-0.688184,-239.37175,101.18306,-97.764877,-0.064027,0.730155,-0.057151,-0.67787,-241.18631,55.585186,-101.319138,0.008199,0.601195,-0.03218,-0.798412,-233.732742,12.705308,-101.786232,0.027647,0.715352,0.029661,-0.697587,-238.939026,100.984642,-118.699219,-0.086556,0.676547,-0.063812,-0.728505,-242.643692,55.362995,-118.876015,-0.038343,0.779345,0.032983,-0.624551,-233.498077,13.082159,-120.289055,-0.005139,0.605184,-0.047021,-0.794679,-248.53508,5.512828,-97.083649,-0.090071,0.786072,-0.020186,-0.611204,-248.699783,6.366771,-124.383751
